Designator,LCSC,Value,Package,Function
U1,C2913202,ESP32-S3-WROOM-1-N16R8,module,MCU
U2,C3036461,AXP2101,QFN-40,PMIC
U3,C365743,ES7210,QFN-32,Mic ADC
U4,C962342,ES8311,QFN-20,Codec
U5,C189961,NS4150B,SOP-8,Speaker amp
J1,C2765186,TYPE-C 16PIN,SMD,USB-C
J2,C375915,FPC 14P 0.5mm,SMD R/A,LCD+CTP
MK1,C111990,SPH1642HT5H-1,MEMS,Mic
MK2,C111990,SPH1642HT5H-1,MEMS,Mic
R1,C25744,10k,0402,BOOT pullup
R2,C25744,10k,0402,EN pullup
R3,C25744,10k,0402,PA_CTRL pulldown
R4,C25911,5.1k,0402,CC1
R5,C25911,5.1k,0402,CC2
R6,C25905,4.7k,0402,I2C SDA
R7,C25905,4.7k,0402,I2C SCL
R8,C25744,10k,0402,AXP IRQ
R9,C25744,10k,0402,TS no-NTC
C1,C15849,1uF,0402,EN delay
C2,C19702,10uF 16V,0805,VBUS
C3,C45783,22uF 16V,0805,VSYS
C4,C15849,1uF,0402,VBAT
C5,C19702,10uF 16V,0805,3V3
C6,C19702,10uF 16V,0805,VBUS AXP
C7,C15849,1uF,0402,AUD_3V3
C8,C15849,1uF,0402,MIC_3V3
C9,C15849,1uF,0402,LCD_3V3
C10,C15849,1uF,0402,CTP_3V3
C11,C14663,100nF,0402,MIC decouple
C12,C14663,100nF,0402,AUD decouple
C13,C19702,10uF 16V,0805,NS4150 PVDD
L1,C167265,1uH 2A,inductor,DCDC1
