Kaynak Pin,Net,Bagli Oldugu Pinler
C1.1,ESP_EN,"R2.1, U1.3, U2.29"
C1.2,GND,"C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C10.1,CTP_3V3,U2.12
C10.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C11.1,MIC_3V3,"C8.1, U2.19, U3.22, U3.23, U3.6, U3.7"
C11.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C12.1,AUD_3V3,"C7.1, U2.18, U4.11, U4.20, U4.3, U4.4"
C12.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C13.1,VBAT,"C4.1, U2.33, U5.6"
C13.2,GND,"C1.2, C2.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C2.1,VBUS,"C6.1, J1.A4B9, J1.B4A9, U2.37"
C2.2,GND,"C1.2, C3.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C3.1,SYS,"U2.13, U2.17, U2.23, U2.24, U2.34, U2.6, U2.7"
C3.2,GND,"C1.2, C2.2, C4.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C4.1,VBAT,"C13.1, U2.33, U5.6"
C4.2,GND,"C1.2, C2.2, C3.2, C5.2, C6.2, C7.2, C8.2, C9.2, C10.2, C11.2, C12.2, C13.2, J1.13, J1.14, J1.A1B12, J1.B1A12, J2.14, J2.15, J2.16, J2.2, MK1.1, MK1.2, MK1.3, MK2.1, MK2.2, MK2.3, R3.2, R4.1, R5.2, R9.2, U1.1, U1.40, U1.41, U2.3, U2.41, U3.1, U3.2, U3.21, U3.33, U3.8, U4.10, U4.21, U4.5, U5.7"
C5.1,3V3,"L1.2, R1.2, R2.2, R6.2, R7.2, R8.2, U1.2, U2.14, U2.21"
